############ PRELIMINARY EARTH REFERENCE MODEL FOR MANTLE #############
#  (first entry is the core)
#  Radius     Density     Bulk mod    Shear mod   Gravity
#  (km)       (g/cc)      (GPa)       (GPa)       (cm/s^2)
3480.    	  9.90349  	   644.1   	     0.    	    1068.23
3480.    	  5.56645  	   655.6   	   293.8   	    1068.23 
3600.    	  5.50642  	   644.    	   290.7   	    1052.04
3630.    	  5.49145  	   641.2   	   289.9   	    1048.44
3630.    	  5.49145  	   641.2   	   289.9   	    1048.44
3800.    	  5.40681  	   609.5   	   279.4   	    1030.95
4000.    	  5.30724  	   574.4   	   267.5   	    1015.8 
4200.    	  5.20713  	   540.9   	   255.9   	    1005.35
4400.    	  5.1059   	   508.5   	   244.5   	     998.59
4600.    	  5.00299  	   476.6   	   233.1   	     994.74
4800.    	  4.89783  	   444.8   	   221.5   	     993.14
5000.    	  4.78983  	   412.8   	   209.8   	     993.26
5200.    	  4.67844  	   380.3   	   197.9   	     994.67
5400.    	  4.56307  	   347.1   	   185.6   	     996.98
5600.    	  4.44317  	   313.3   	   173.    	     999.85
5600.    	  4.44317  	   313.3   	   173.    	     999.85
5701.    	  4.38071  	   299.9   	   154.8   	    1001.43
5701.    	  3.99214  	   255.6   	   123.9   	    1001.43
5771.    	  3.97584  	   248.9   	   121.    	    1000.38
5771.    	  3.97584  	   248.9   	   121.    	    1000.38
5871.    	  3.8498   	   218.1   	   105.1   	     998.83
5971.    	  3.72378  	   189.9   	    90.6   	     996.86
5971.    	  3.54325  	   173.5   	    80.6   	     996.86
6061.    	  3.48951  	   163.    	    77.3   	     993.61
6151.    	  3.43578  	   152.9   	    74.1   	     990.48
6151.    	  3.3595   	   127.    	    65.6   	     990.48
6221.    	  3.3671   	   128.7   	    66.5   	     987.83
6291.    	  3.37471  	   130.3   	    67.4   	     985.53
6291.    	  3.37471  	   130.3   	    67.4   	     985.53
6346.6   	  3.38076  	   131.5   	    68.2   	     983.94
6346.6   	  2.900    	    75.3   	    44.1   	     983.94
6356.    	  2.900    	    75.3   	    44.1   	     983.32
6356.    	  2.600    	    52.    	    26.6   	     983.32
6371.    	  2.600    	    52.    	    26.6   	     982.22
